~id,~label,~from,~to,~fromLabels,~toLabels,dist:int
"26820","route","326","504","airport","airport",1405
"26836","route","326","1216","airport","airport",913
"26852","route","327","80","airport","airport",233
"26868","route","327","514","airport","airport",314
"26884","route","328","70","airport","airport",455
"26900","route","328","108","airport","airport",177
"26916","route","328","230","airport","airport",443
"26932","route","328","451","airport","airport",557
"26948","route","328","512","airport","airport",767
"26964","route","328","1232","airport","airport",346
"26980","route","329","50","airport","airport",589
"26995","route","329","90","airport","airport",379
"27011","route","329","200","airport","airport",731
"27027","route","329","344","airport","airport",194
"27043","route","329","513","airport","airport",548
"27059","route","329","855","airport","airport",283
"27075","route","329","1667","airport","airport",682
"27091","route","330","75","airport","airport",515
"27107","route","330","140","airport","airport",574
"27123","route","330","260","airport","airport",1402
"27139","route","330","512","airport","airport",755
"27155","route","330","1226","airport","airport",129
"27171","route","331","80","airport","airport",409
"27187","route","331","319","airport","airport",799
"27203","route","331","2112","airport","airport",824
"27219","route","332","80","airport","airport",1439
"27235","route","332","164","airport","airport",3758
"27250","route","332","329","airport","airport",980
"27266","route","332","545","airport","airport",284
"27282","route","332","850","airport","airport",1174
"27298","route","333","49","airport","airport",1120
"27314","route","334","49","airport","airport",2964
"27330","route","334","1913","airport","airport",288
"27346","route","335","64","airport","airport",2031
"27362","route","335","346","airport","airport",2241
"27378","route","335","2631","airport","airport",389
"27394","route","336","77","airport","airport",1760
"27410","route","336","215","airport","airport",868
"27426","route","336","818","airport","airport",393
"27442","route","337","56","airport","airport",2018
"27458","route","337","164","airport","airport",3025
"27474","route","337","669","airport","airport",582
"27490","route","337","714","airport","airport",1326
"27505","route","337","1049","airport","airport",702
"27521","route","337","1503","airport","airport",558
"27537","route","337","2072","airport","airport",816
"27553","route","337","2974","airport","airport",208
"27569","route","338","80","airport","airport",1266
"27585","route","338","168","airport","airport",1181
"27601","route","338","311","airport","airport",1024
"27617","route","338","532","airport","airport",1281
"27633","route","338","1357","airport","airport",1245
"27649","route","339","2020","airport","airport",232
"27665","route","340","176","airport","airport",1521
"27681","route","341","168","airport","airport",1180
"27697","route","342","68","airport","airport",1065
"27713","route","342","109","airport","airport",1070
"27729","route","342","286","airport","airport",1312
"27745","route","342","653","airport","airport",378
"27760","route","342","2670","airport","airport",392
"27776","route","344","50","airport","airport",524
"27792","route","344","107","airport","airport",355
"27808","route","344","230","airport","airport",290
"27824","route","344","500","airport","airport",416
"27840","route","344","1238","airport","airport",437
"27856","route","345","126","airport","airport",1546
"27872","route","345","1992","airport","airport",236
"27888","route","346","53","airport","airport",186
"27904","route","346","102","airport","airport",414
"27920","route","346","172","airport","airport",1372
"27936","route","346","335","airport","airport",2241
"27952","route","346","522","airport","airport",417
"27968","route","346","1040","airport","airport",2207
"27984","route","346","2122","airport","airport",949
"28000","route","346","2691","airport","airport",1063
"28015","route","346","2724","airport","airport",2021
"28031","route","346","3325","airport","airport",785
"28047","route","347","79","airport","airport",915
"28063","route","347","173","airport","airport",1033
"28079","route","347","338","airport","airport",295
"28095","route","347","791","airport","airport",770
"28111","route","348","49","airport","airport",1469
"28127","route","348","836","airport","airport",201
"28143","route","349","71","airport","airport",1641
"28159","route","349","673","airport","airport",780
"28175","route","351","74","airport","airport",314
"28191","route","352","71","airport","airport",3334
"28207","route","352","346","airport","airport",2089
"28223","route","352","1206","airport","airport",726
"28239","route","352","2737","airport","airport",1340
"28255","route","353","80","airport","airport",2182
"28270","route","353","164","airport","airport",787
"28286","route","353","722","airport","airport",743
"28302","route","354","59","airport","airport",3622
"28318","route","354","125","airport","airport",2557
"28334","route","355","75","airport","airport",4337
"28350","route","358","11","airport","airport",74
"28366","route","360","11","airport","airport",2226
"28382","route","360","133","airport","airport",2912
"28398","route","360","563","airport","airport",442
"28414","route","360","2548","airport","airport",71
"28430","route","360","2564","airport","airport",443
"28446","route","362","11","airport","airport",803
"28462","route","362","1274","airport","airport",1126
"28478","route","363","46","airport","airport",636
"28494","route","363","609","airport","airport",518
"28510","route","365","16","airport","airport",556
"28525","route","367","1","airport","airport",1084
"28541","route","367","369","airport","airport",342
"28557","route","367","1126","airport","airport",522
"28573","route","369","8","airport","airport",866
"28589","route","371","11","airport","airport",253
"28605","route","372","420","airport","airport",287
"28621","route","373","10","airport","airport",401
"28637","route","375","1","airport","airport",258
"28653","route","375","31","airport","airport",1446
"28669","route","377","31","airport","airport",668
"28685","route","379","25","airport","airport",829
"28701","route","380","367","airport","airport",412
"28717","route","383","1","airport","airport",1123
"28733","route","384","29","airport","airport",500
"28749","route","385","1274","airport","airport",1334
"28765","route","389","1","airport","airport",1468
"28780","route","389","29","airport","airport",1489
