~id,~label,~from,~to,~fromLabels,~toLabels
"51222","contains","3548","1736","country","airport"
"51238","contains","3482","1752","country","airport"
"51254","contains","3623","1768","country","airport"
"51270","contains","3597","1784","country","airport"
"51286","contains","3560","1800","country","airport"
"51302","contains","3418","1816","country","airport"
"51318","contains","3440","1832","country","airport"
"51334","contains","3435","1848","country","airport"
"51350","contains","3435","1864","country","airport"
"51366","contains","3435","1880","country","airport"
"51382","contains","3400","1896","country","airport"
"51398","contains","3552","1912","country","airport"
"51414","contains","3473","1928","country","airport"
"51430","contains","3470","1944","country","airport"
"51446","contains","3555","1960","country","airport"
"51461","contains","3633","1975","country","airport"
"51477","contains","3403","1991","country","airport"
"51493","contains","3544","2007","country","airport"
"51509","contains","3542","2023","country","airport"
"51525","contains","3467","2039","country","airport"
"51541","contains","3519","2055","country","airport"
"51557","contains","3440","2071","country","airport"
"51573","contains","3623","2087","country","airport"
"51589","contains","3623","2103","country","airport"
"51605","contains","3494","2119","country","airport"
"51621","contains","3572","2135","country","airport"
"51637","contains","3615","2151","country","airport"
"51653","contains","3519","2167","country","airport"
"51669","contains","3445","2183","country","airport"
"51685","contains","3412","2199","country","airport"
"51701","contains","3472","2215","country","airport"
"51716","contains","3476","2230","country","airport"
"51732","contains","3626","2246","country","airport"
"51748","contains","3585","2262","country","airport"
"51764","contains","3499","2278","country","airport"
"51780","contains","3499","2294","country","airport"
"51796","contains","3559","2310","country","airport"
"51812","contains","3623","2326","country","airport"
"51828","contains","3623","2342","country","airport"
"51844","contains","3623","2358","country","airport"
"51860","contains","3623","2374","country","airport"
"51876","contains","3560","2390","country","airport"
"51892","contains","3505","2406","country","airport"
"51908","contains","3564","2422","country","airport"
"51924","contains","3564","2438","country","airport"
"51940","contains","3573","2454","country","airport"
"51956","contains","3406","2470","country","airport"
"51971","contains","3426","2485","country","airport"
"51987","contains","3426","2501","country","airport"
"52003","contains","3426","2517","country","airport"
"52019","contains","3462","2533","country","airport"
"52035","contains","3442","2549","country","airport"
"52051","contains","3442","2565","country","airport"
"52067","contains","3426","2581","country","airport"
"52083","contains","3627","2597","country","airport"
"52099","contains","3426","2613","country","airport"
"52115","contains","3508","2629","country","airport"
"52131","contains","3407","2645","country","airport"
"52147","contains","3573","2661","country","airport"
"52163","contains","3573","2677","country","airport"
"52179","contains","3573","2693","country","airport"
"52195","contains","3573","2709","country","airport"
"52211","contains","3625","2725","country","airport"
"52226","contains","3573","2740","country","airport"
"52242","contains","3496","2756","country","airport"
"52258","contains","3547","2772","country","airport"
"52274","contains","3530","2788","country","airport"
"52290","contains","3611","2804","country","airport"
"52306","contains","3629","2820","country","airport"
"52322","contains","3536","2836","country","airport"
"52338","contains","3497","2852","country","airport"
"52354","contains","3497","2868","country","airport"
"52370","contains","3527","2884","country","airport"
"52386","contains","3497","2900","country","airport"
"52402","contains","3410","2916","country","airport"
"52418","contains","3410","2932","country","airport"
"52434","contains","3540","2948","country","airport"
"52450","contains","3440","2964","country","airport"
"52466","contains","3508","2980","country","airport"
"52481","contains","3623","2995","country","airport"
"52497","contains","3623","3011","country","airport"
"52513","contains","3467","3027","country","airport"
"52529","contains","3536","3043","country","airport"
"52545","contains","3440","3059","country","airport"
"52561","contains","3499","3075","country","airport"
"52577","contains","3461","3091","country","airport"
"52593","contains","3426","3107","country","airport"
"52609","contains","3509","3123","country","airport"
"52625","contains","3435","3139","country","airport"
"52641","contains","3435","3155","country","airport"
"52657","contains","3509","3171","country","airport"
"52673","contains","3442","3187","country","airport"
"52689","contains","3623","3203","country","airport"
"52705","contains","3435","3219","country","airport"
"52721","contains","3461","3235","country","airport"
"52736","contains","3435","3250","country","airport"
"52752","contains","3595","3266","country","airport"
"52768","contains","3623","3282","country","airport"
"52784","contains","3440","3298","country","airport"
"52800","contains","3623","3314","country","airport"
"52816","contains","3440","3330","country","airport"
"52832","contains","3496","3346","country","airport"
"52848","contains","3508","3362","country","airport"
"52864","contains","3564","3378","country","airport"
"52880","contains","3474","3394","country","airport"
"49502","contains","3623","16","country","airport"
"49518","contains","3623","32","country","airport"
"49534","contains","3435","48","country","airport"
"49550","contains","3440","64","country","airport"
"49566","contains","3460","80","country","airport"
"49582","contains","3621","96","country","airport"
"49598","contains","3494","112","country","airport"
"49614","contains","3509","128","country","airport"
"49630","contains","3463","144","country","airport"
"49646","contains","3410","160","country","airport"
"49662","contains","3474","176","country","airport"
"49677","contains","3623","191","country","airport"
"49693","contains","3547","207","country","airport"
"49709","contains","3613","223","country","airport"
"49725","contains","3623","239","country","airport"
"49741","contains","3615","255","country","airport"
"49757","contains","3623","271","country","airport"
"49773","contains","3555","287","country","airport"
"49789","contains","3400","303","country","airport"
"49805","contains","3449","319","country","airport"
"49821","contains","3508","335","country","airport"
"49837","contains","3595","351","country","airport"
"49853","contains","3537","367","country","airport"
"49869","contains","3623","383","country","airport"
"49885","contains","3623","399","country","airport"
"49901","contains","3617","415","country","airport"
"49917","contains","3623","431","country","airport"
"49932","contains","3623","446","country","airport"
"49948","contains","3595","462","country","airport"
"49964","contains","3456","478","country","airport"
"49980","contains","3452","494","country","airport"
"49996","contains","3482","510","country","airport"
"50012","contains","3623","526","country","airport"
"50028","contains","3602","542","country","airport"
"50044","contains","3459","558","country","airport"
"50060","contains","3459","574","country","airport"
"50076","contains","3561","590","country","airport"
"50092","contains","3459","606","country","airport"
"50108","contains","3623","622","country","airport"
"50124","contains","3476","638","country","airport"
"50140","contains","3496","654","country","airport"
"50156","contains","3527","670","country","airport"
"50172","contains","3505","686","country","airport"
"50187","contains","3564","701","country","airport"
"50203","contains","3527","717","country","airport"
"50219","contains","3564","733","country","airport"
"50235","contains","3505","749","country","airport"
"50251","contains","3505","765","country","airport"
"50267","contains","3505","781","country","airport"
"50283","contains","3460","797","country","airport"
"50299","contains","3573","813","country","airport"
"50315","contains","3400","829","country","airport"
"50331","contains","3438","845","country","airport"
"50347","contains","3573","861","country","airport"
"50363","contains","3623","877","country","airport"
"50379","contains","3623","893","country","airport"
"50395","contains","3623","909","country","airport"
"50411","contains","3623","925","country","airport"
