~id,~label,~from,~to,~fromLabels,~toLabels
"55939","contains","3637","3056","continent","airport"
"55955","contains","3640","3072","continent","airport"
"55971","contains","3639","3088","continent","airport"
"55987","contains","3638","3104","continent","airport"
"56003","contains","3636","3120","continent","airport"
"56019","contains","3637","3136","continent","airport"
"56035","contains","3637","3152","continent","airport"
"56051","contains","3635","3168","continent","airport"
"56066","contains","3637","3183","continent","airport"
"56082","contains","3638","3199","continent","airport"
"56098","contains","3637","3215","continent","airport"
"56114","contains","3637","3231","continent","airport"
"56130","contains","3637","3247","continent","airport"
"56146","contains","3639","3263","continent","airport"
"56162","contains","3637","3279","continent","airport"
"56178","contains","3639","3295","continent","airport"
"56194","contains","3639","3311","continent","airport"
"56210","contains","3639","3327","continent","airport"
"56226","contains","3640","3343","continent","airport"
"56242","contains","3639","3359","continent","airport"
"56258","contains","3640","3375","continent","airport"
"56274","contains","3637","3391","continent","airport"
"52896","contains","3637","13","continent","airport"
"52912","contains","3637","29","continent","airport"
"52928","contains","3637","45","continent","airport"
"52944","contains","3639","61","continent","airport"
"52960","contains","3635","77","continent","airport"
"52976","contains","3635","93","continent","airport"
"53007","contains","3635","124","continent","airport"
"53023","contains","3635","140","continent","airport"
"53039","contains","3640","156","continent","airport"
"53055","contains","3635","172","continent","airport"
"53071","contains","3637","188","continent","airport"
"53087","contains","3636","204","continent","airport"
"53103","contains","3637","220","continent","airport"
"53119","contains","3637","236","continent","airport"
"53135","contains","3635","252","continent","airport"
"53151","contains","3637","268","continent","airport"
"53167","contains","3635","284","continent","airport"
"53183","contains","3637","300","continent","airport"
"53199","contains","3639","316","continent","airport"
"53215","contains","3636","332","continent","airport"
"53231","contains","3636","348","continent","airport"
"53247","contains","3637","364","continent","airport"
"53262","contains","3637","379","continent","airport"
"53278","contains","3637","395","continent","airport"
"53294","contains","3637","411","continent","airport"
"53310","contains","3637","427","continent","airport"
"53326","contains","3637","443","continent","airport"
"53342","contains","3635","459","continent","airport"
"53358","contains","3635","475","continent","airport"
"53374","contains","3636","491","continent","airport"
"53390","contains","3635","507","continent","airport"
"53406","contains","3639","523","continent","airport"
"53422","contains","3635","539","continent","airport"
"53438","contains","3635","555","continent","airport"
"53454","contains","3637","571","continent","airport"
"53470","contains","3638","587","continent","airport"
"53486","contains","3637","603","continent","airport"
"53502","contains","3637","619","continent","airport"
"53517","contains","3637","634","continent","airport"
"53533","contains","3637","650","continent","airport"
"53549","contains","3639","666","continent","airport"
"53565","contains","3639","682","continent","airport"
"53581","contains","3639","698","continent","airport"
"53597","contains","3639","714","continent","airport"
"53613","contains","3639","730","continent","airport"
"53629","contains","3639","746","continent","airport"
"53645","contains","3639","762","continent","airport"
"53661","contains","3639","778","continent","airport"
"53677","contains","3635","794","continent","airport"
"53693","contains","3639","810","continent","airport"
"53709","contains","3635","826","continent","airport"
"53725","contains","3636","842","continent","airport"
"53741","contains","3635","858","continent","airport"
"53757","contains","3637","874","continent","airport"
"53772","contains","3637","889","continent","airport"
"53788","contains","3639","905","continent","airport"
"53804","contains","3637","921","continent","airport"
"53820","contains","3637","937","continent","airport"
"53836","contains","3637","953","continent","airport"
"53852","contains","3637","969","continent","airport"
"53868","contains","3640","985","continent","airport"
"53884","contains","3640","1001","continent","airport"
"53900","contains","3640","1017","continent","airport"
"53916","contains","3639","1033","continent","airport"
"53932","contains","3639","1049","continent","airport"
"53948","contains","3637","1065","continent","airport"
"53964","contains","3637","1081","continent","airport"
"53980","contains","3637","1097","continent","airport"
"53996","contains","3637","1113","continent","airport"
"54012","contains","3637","1129","continent","airport"
"54027","contains","3637","1144","continent","airport"
"54043","contains","3637","1160","continent","airport"
"54059","contains","3639","1176","continent","airport"
"54075","contains","3639","1192","continent","airport"
"54091","contains","3635","1208","continent","airport"
"54107","contains","3635","1224","continent","airport"
"54123","contains","3635","1240","continent","airport"
"54139","contains","3637","1256","continent","airport"
"54155","contains","3637","1272","continent","airport"
"54171","contains","3637","1288","continent","airport"
"54187","contains","3635","1304","continent","airport"
"54203","contains","3639","1320","continent","airport"
"54219","contains","3639","1336","continent","airport"
"54235","contains","3640","1352","continent","airport"
"54251","contains","3635","1368","continent","airport"
"54267","contains","3635","1384","continent","airport"
"54282","contains","3635","1399","continent","airport"
"54298","contains","3635","1415","continent","airport"
"54314","contains","3635","1431","continent","airport"
"54330","contains","3637","1447","continent","airport"
"54346","contains","3640","1463","continent","airport"
"54362","contains","3639","1479","continent","airport"
"54378","contains","3639","1495","continent","airport"
"54394","contains","3639","1511","continent","airport"
"54410","contains","3639","1527","continent","airport"
"54426","contains","3637","1543","continent","airport"
"54442","contains","3638","1559","continent","airport"
"54458","contains","3638","1575","continent","airport"
"54474","contains","3638","1591","continent","airport"
"54490","contains","3638","1607","continent","airport"
"54506","contains","3638","1623","continent","airport"
"54522","contains","3637","1639","continent","airport"
"54537","contains","3635","1654","continent","airport"
"54553","contains","3636","1670","continent","airport"
"54569","contains","3639","1686","continent","airport"
"54585","contains","3636","1702","continent","airport"
"54601","contains","3636","1718","continent","airport"
"54617","contains","3635","1734","continent","airport"
"54633","contains","3635","1750","continent","airport"
"54649","contains","3635","1766","continent","airport"
"54665","contains","3640","1782","continent","airport"
"54681","contains","3640","1798","continent","airport"
"54697","contains","3640","1814","continent","airport"
"54713","contains","3639","1830","continent","airport"
"54729","contains","3637","1846","continent","airport"
"54745","contains","3637","1862","continent","airport"
"54761","contains","3637","1878","continent","airport"
"54777","contains","3636","1894","continent","airport"
"54792","contains","3636","1909","continent","airport"
"54808","contains","3635","1925","continent","airport"
"54824","contains","3635","1941","continent","airport"
"54840","contains","3635","1957","continent","airport"
"54856","contains","3636","1973","continent","airport"
"54872","contains","3636","1989","continent","airport"
"54888","contains","3636","2005","continent","airport"
"54904","contains","3636","2021","continent","airport"
"54920","contains","3636","2037","continent","airport"
"54936","contains","3636","2053","continent","airport"
"54952","contains","3639","2069","continent","airport"
"54968","contains","3637","2085","continent","airport"
"54984","contains","3637","2101","continent","airport"
"55000","contains","3635","2117","continent","airport"
"55016","contains","3635","2133","continent","airport"
"55032","contains","3635","2149","continent","airport"
